case_id,split,opened_at_utc,cohort,truth_action,correct_reward,wrong_decision_penalty,escalate_reward,easy_escalate_penalty,max_steps_penalty,delay_penalty,max_steps
dev-approve-1,dev,2026-02-01T00:00:00Z,clean_approve,APPROVE,1.12,-1.25,0.65,-0.45,-0.85,0.06,6
dev-reject-1,dev,2026-02-01T12:00:00Z,clean_reject,REJECT,1.1,-1.22,0.65,-0.45,-0.85,0.06,6
dev-late-1,dev,2026-03-01T00:00:00Z,late_reveal,APPROVE,1.2,-1.3,0.7,-0.4,-0.95,0.08,6
dev-ambiguous-1,dev,2026-03-01T12:00:00Z,ambiguous_escalate,ESCALATE,0.95,-1.4,0.78,-0.32,-1.05,0.09,6
dev-approve-2,dev,2026-02-02T00:00:00Z,clean_approve,APPROVE,1.12,-1.25,0.65,-0.45,-0.85,0.06,6
dev-reject-2,dev,2026-02-02T12:00:00Z,clean_reject,REJECT,1.1,-1.22,0.65,-0.45,-0.85,0.06,6
dev-late-2,dev,2026-03-02T00:00:00Z,late_reveal,REJECT,1.2,-1.3,0.7,-0.4,-0.95,0.08,6
dev-ambiguous-2,dev,2026-03-02T12:00:00Z,ambiguous_escalate,ESCALATE,0.95,-1.4,0.78,-0.32,-1.05,0.09,6
dev-approve-3,dev,2026-02-03T00:00:00Z,clean_approve,APPROVE,1.12,-1.25,0.65,-0.45,-0.85,0.06,6
dev-reject-3,dev,2026-02-03T12:00:00Z,clean_reject,REJECT,1.1,-1.22,0.65,-0.45,-0.85,0.06,6
dev-late-3,dev,2026-03-03T00:00:00Z,late_reveal,APPROVE,1.2,-1.3,0.7,-0.4,-0.95,0.08,6
dev-ambiguous-3,dev,2026-03-03T12:00:00Z,ambiguous_escalate,ESCALATE,0.95,-1.4,0.78,-0.32,-1.05,0.09,6
dev-approve-4,dev,2026-02-04T00:00:00Z,clean_approve,APPROVE,1.12,-1.25,0.65,-0.45,-0.85,0.06,6
dev-reject-4,dev,2026-02-04T12:00:00Z,clean_reject,REJECT,1.1,-1.22,0.65,-0.45,-0.85,0.06,6
dev-late-4,dev,2026-03-04T00:00:00Z,late_reveal,REJECT,1.2,-1.3,0.7,-0.4,-0.95,0.08,6
dev-ambiguous-4,dev,2026-03-04T12:00:00Z,ambiguous_escalate,ESCALATE,0.95,-1.4,0.78,-0.32,-1.05,0.09,6
holdout-approve-1,holdout,2026-02-17T00:00:00Z,clean_approve,APPROVE,1.12,-1.25,0.65,-0.45,-0.85,0.06,6
holdout-reject-1,holdout,2026-02-17T12:00:00Z,clean_reject,REJECT,1.1,-1.22,0.65,-0.45,-0.85,0.06,6
holdout-late-1,holdout,2026-03-17T00:00:00Z,late_reveal,APPROVE,1.2,-1.3,0.7,-0.4,-0.95,0.08,6
holdout-ambiguous-1,holdout,2026-03-17T12:00:00Z,ambiguous_escalate,ESCALATE,0.95,-1.4,0.78,-0.32,-1.05,0.09,6
holdout-approve-2,holdout,2026-02-18T00:00:00Z,clean_approve,APPROVE,1.12,-1.25,0.65,-0.45,-0.85,0.06,6
holdout-reject-2,holdout,2026-02-18T12:00:00Z,clean_reject,REJECT,1.1,-1.22,0.65,-0.45,-0.85,0.06,6
holdout-late-2,holdout,2026-03-18T00:00:00Z,late_reveal,REJECT,1.2,-1.3,0.7,-0.4,-0.95,0.08,6
holdout-ambiguous-2,holdout,2026-03-18T12:00:00Z,ambiguous_escalate,ESCALATE,0.95,-1.4,0.78,-0.32,-1.05,0.09,6
